,States,year,Primary_Boys,Primary_Girls,Primary_Total,Upper Primary_Boys,Upper Primary_Girls,Upper Primary_Total,Secondary _Boys,Secondary _Girls,Secondary _Total,HrSecondary_Boys,HrSecondary_Girls,HrSecondary_Total,Region,reference
74,Nagaland,2014-15,6.18,5.02,5.61,7.87,7.97,7.92,17.98,18.47,18.23,10.36,3.19,6.97,ne,2014-15 ne
75,Odisha,2012-13,3.63,3.49,3.56,4.1,3.52,3.81,50.09,49.62,49.86,12.74,9.32,11.14,east,2012-13 east
76,Odisha,2013-14,2.83,3.05,2.94,3.11,2.48,2.8,49.39,49.57,49.48,13.48,9.98,11.88,east,2013-14 east
77,Odisha,2014-15,2.91,2.81,2.86,4.11,3.49,3.81,29.74,29.37,29.56,10.65,8.14,9.48,east,2014-15 east
78,Puducherry,2012-13,0.25,0.43,0.34,0.33,1.05,0.68,18.49,11.72,15.21,6.79,3.87,5.25,south,2012-13 south
79,Puducherry,2013-14,0.76,0.57,0.66,0.37,0.83,0.6,18.22,10.02,14.24,13.24,9.28,11.16,south,2013-14 south
80,Puducherry,2014-15,0.36,0.38,0.37,0.44,0.69,0.56,14.94,9.36,12.19,5.4,3.69,4.5,south,2014-15 south
81,Punjab,2012-13,1.99,1.98,1.99,2.58,3.04,2.78,9.4,10.3,9.8,9.69,6.53,8.28,north,2012-13 north
82,Punjab,2013-14,1.35,1.21,1.29,2.52,3.27,2.85,8.93,8.71,8.83,7.87,3.2,5.81,north,2013-14 north
83,Punjab,2014-15,2.89,3.25,3.05,2.95,3.55,3.22,9.22,8.39,8.86,7.52,3.67,5.83,north,2014-15 north
84,Rajasthan,2012-13,7.2,8.85,7.97,2.86,6.34,4.42,13.06,14.49,13.65,6.94,5.1,5.4,west,2012-13 west
85,Rajasthan,2013-14,7.76,9.12,8.39,4.49,7.95,6.03,17.85,20.06,18.77,9.12,5.21,7.24,west,2013-14 west
86,Rajasthan,2014-15,5.02,5.02,5.02,2.54,3.73,3.07,13.54,13.4,13.48,14.92,10.05,12.64,west,2014-15 west
87,Sikkim,2012-13,4.78,2.31,3.6,2.6,3.64,3.15,9.93,8.64,9.23,11.79,4.92,8.1,ne,2012-13 ne
88,Sikkim,2013-14,5.55,3.49,4.57,6.35,3.98,5.14,13.74,12.14,12.89,14.11,11.92,12.91,ne,2013-14 ne
89,Sikkim,2014-15,3.75,0.62,2.27,2.07,1.08,1.57,17.58,14.39,15.89,12.48,11.17,11.76,ne,2014-15 ne
90,Tamil Nadu,2012-13,4.02,4.1,4.06,0.38,2.13,1.24,14.26,5.86,10.2,1.34,2.33,1.87,south,2012-13 south
91,Tamil Nadu,2013-14,0.53,0.39,0.46,4.38,4.67,4.52,16.13,7.99,12.2,4.55,4.35,4.44,south,2013-14 south
92,Tamil Nadu,2014-15,2.79,2.8,2.8,2.86,2.49,2.98,11.67,4.36,8.1,4.59,2.34,3.41,south,2014-15 south
93,Telangana,2013-14,6.04,5.57,5.81,4.63,4.79,4.71,17.99,16.86,17.43,13.67,13.2,13.43,south,2013-14 south
94,Telangana,2014-15,2.21,1.94,2.08,2.43,2.17,2.3,16.54,14.5,15.53,2.06,3.01,0.77,south,2014-15 south
95,Tripura,2012-13,2.31,2.11,2.22,3.1,3.07,3.08,24.09,26.99,25.5,8.4,9.49,8.87,ne,2012-13 ne
96,Tripura,2013-14,3.63,3.52,3.58,3.21,2.2,2.72,24.51,25.7,25.09,9.15,9.06,9.11,ne,2013-14 ne
97,Tripura,2014-15,1.37,1.19,1.28,2.37,1.61,1.99,28.03,28.83,28.42,8.97,8.89,8.93,ne,2014-15 ne
98,Uttar Pradesh,2012-13,10.53,10.03,10.28,2.2,3.1,1.06,9.66,10.21,9.91,11.31,7.51,9.61,north,2012-13 north
99,Uttar Pradesh,2013-14,7.91,6.21,7.08,2.08,2.43,0.53,7.26,7.35,7.3,8.61,6.34,8.37,north,2013-14 north
100,Uttar Pradesh,2014-15,9.08,8.04,8.58,0.78,4.61,2.7,9.89,10.6,10.22,1.79,2.45,2.1,north,2014-15 north
101,Uttarakhand,2012-13,1.14,1.18,1.16,2.2,1.0,0.13,8.97,10.45,9.68,1.35,1.85,1.59,north,2012-13 north
102,Uttarakhand,2013-14,3.28,2.83,3.07,1.78,1.57,1.68,9.85,7.44,8.7,0.23,6.34,8.37,north,2013-14 north
103,Uttarakhand,2014-15,4.37,3.67,4.04,0.79,1.62,1.19,11.26,9.46,10.4,3.4,2.61,3.01,north,2014-15 north
104,West Bengal,2012-13,6.88,5.71,6.3,6.29,4.16,5.18,14.95,19.41,17.3,7.81,8.49,8.13,east,2012-13 east
105,West Bengal,2013-14,3.44,2.37,2.91,5.63,3.1,4.31,16.73,19.77,18.34,8.03,7.76,7.9,east,2013-14 east
106,West Bengal,2014-15,2.13,0.79,1.47,5.84,2.88,4.3,16.33,19.06,17.8,8.18,8.04,8.11,east,2014-15 east
107,All India,2012-13,4.68,4.66,4.67,2.3,4.01,3.13,14.54,14.54,14.54,,,,,
108,All India,2013-14,4.53,4.14,4.34,3.09,4.49,3.77,17.93,17.79,17.86,1.48,1.61,1.54,,
109,All India,2014-15,4.36,3.88,4.13,3.49,4.6,4.03,17.21,16.88,17.06,0.25,,,,
